Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,PP5GRA,145.470000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Aurora,,,,
1,PP5BBV,147.150000,+,0.600000,,77.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Barra Velha,,,,
2,PP5MPA,147.180000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Blumenau,,,,
3,PP5MCO,147.390000,+,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Blumenau,,,,
4,PP5UMC,439.500000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Blumenau,,,,
5,PP5ARQ,146.730000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Brusque,,,,
6,PP5WER,145.310000,-,0.600000,Tone,82.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Campo Alegre,,,,
7,PP5EBJ,147.090000,+,0.600000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Caçador,,,,
8,PP5CDR,439.100000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Caçador,,,,
9,PP5CR,439.695000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Caçador,,,,
10,PP5CDA,145.610000,-,0.600000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Concórdia,,,,
11,PP5CTB,146.410000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Curitibanos,,,,
12,PP5GRI,146.690000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Florianopolis,,,,
